project_name,project_description,start_date,end_date,project_status,project_budget,customer_id
Office Renovation,Complete office renovation and modernization,2024-01-15,2024-06-30,In Progress,50000,CUST001
Warehouse Expansion,Expand warehouse capacity by 50%,2024-03-01,2024-08-15,Planning,75000,CUST002
IT Infrastructure Upgrade,Upgrade servers and network equipment,2024-02-01,2024-04-30,Completed,25000,CUST003
Parking Lot Construction,New employee parking facility,2024-05-01,2024-07-31,Not Started,35000,CUST001
Conference Room Setup,Install AV equipment and furniture,2024-04-01,2024-04-15,In Progress,15000,CUST004
Security System Installation,Install cameras and access control,2024-06-01,2024-07-15,Planning,30000,CUST002
HVAC Replacement,Replace aging HVAC systems,2024-08-01,2024-10-31,Not Started,45000,CUST003
Kitchen Remodel,Modernize employee kitchen facilities,2024-07-01,2024-09-30,Planning,40000,CUST004
Data Center Migration,Migrate to new data center facility,2024-09-01,2024-12-31,Not Started,100000,CUST001
Landscaping Project,Redesign office grounds and gardens,2024-03-15,2024-05-30,In Progress,20000,CUST002 